iter	RMSE
0	1.855503943
1	1.835388079
2	1.811916756
3	1.788450988
4	1.768967928
5	1.74775623
6	1.726550286
7	1.705222573
8	1.685654275
9	1.666655626
10	1.646916754
11	1.629554253
12	1.613171647
13	1.596344014
14	1.576200534
15	1.559936974
16	1.543625997
17	1.527723861
18	1.512236707
19	1.498048885
20	1.481689078
21	1.467003236
22	1.450234436
23	1.432211309
24	1.420142433
25	1.404076916
26	1.388551924
27	1.376125412
28	1.361925626
29	1.346255722
30	1.334609269
31	1.321890799
32	1.308705752
33	1.297787815
34	1.284078173
35	1.27225242
36	1.259135562
37	1.248641612
38	1.238281228
39	1.227757865
40	1.216791301
41	1.205383142
42	1.194957399
43	1.183267441
44	1.172557539
45	1.163903423
46	1.151075186
47	1.14110931
48	1.130711222
49	1.12145741
50	1.117442023
51	1.108810289
52	1.100340144
53	1.09366176
54	1.090037441
55	1.083093439
56	1.074834602
57	1.066374218
58	1.057393643
59	1.045743586
60	1.037680645
61	1.029992446
62	1.02181946
63	1.015024063
64	1.005446532
65	0.9959161177
66	0.9888746198
67	0.9843898201
68	0.9780782104
69	0.9701842746
70	0.9618956435
71	0.9542360685
72	0.9486228073
73	0.9421656145
74	0.937049854
75	0.9309007179
76	0.922867891
77	0.9170219445
78	0.9093256915
79	0.9017242355
80	0.8945210985
81	0.8869854134
82	0.8830937584
83	0.8775298155
84	0.8710762337
85	0.8656239624
86	0.8586457788
87	0.8536826061
88	0.8456930962
89	0.8428372646
90	0.8384445362
91	0.8326689267
92	0.8273998902
93	0.8224660979
94	0.8175548589
95	0.8118968041
96	0.8098270499
97	0.8062478721
98	0.8019811694
99	0.796232375
100	0.7910223307
101	0.7854770457
102	0.7792227522
103	0.773508067
104	0.7671216306
105	0.7632982825
106	0.7574628497
107	0.7521536613
108	0.7469349708
109	0.7424730025
110	0.7377395708
111	0.7323395663
112	0.7265961526
113	0.720945498
114	0.7180288204
115	0.7128276757
116	0.7080579609
117	0.7036955511
118	0.6984743516
119	0.6955215215
120	0.6910887306
121	0.6865438715
122	0.6818605622
123	0.6797299567
124	0.6761864623
125	0.6728737618
126	0.6692786004
127	0.6651243968
128	0.6595180367
129	0.6557218568
130	0.6515292451
131	0.6465449164
132	0.6414472891
133	0.6370161105
134	0.6340878061
135	0.6297424146
136	0.6261581756
137	0.6228978675
138	0.6197360212
139	0.6162404849
140	0.6126937442
141	0.6086701996
142	0.6045403547
143	0.6001400498
144	0.5956706903
145	0.5924776858
146	0.5882875457
147	0.5856102699
148	0.5823794785
149	0.5788569743
150	0.5747999251
151	0.5714415486
152	0.5685365228
153	0.5648067415
154	0.5619250733
155	0.5593834502
156	0.5569409983
157	0.5523401894
158	0.5492712983
159	0.545879346
160	0.5428387224
161	0.5401506749
162	0.5371360495
163	0.532578535
164	0.5292559474
165	0.525707059
166	0.522039989
167	0.5189739809
168	0.5156597122
169	0.5134161004
170	0.5090449252
171	0.5063336346
172	0.5041628039
173	0.5009499951
174	0.4980286722
175	0.4945823584
176	0.4916702472
177	0.4891940408
