iter	Passed	Remaining
0	59	59920
1	121	60541
2	200	66637
3	264	65753
4	354	70630
5	423	70174
6	513	72902
7	577	71648
8	663	73083
9	728	72087
10	803	72277
11	867	71432
12	950	72198
13	1022	72008
14	1109	72872
15	1182	72705
16	1267	73302
17	1332	72683
18	1461	75441
19	1530	74987
20	1611	75148
21	1676	74515
22	1753	74500
23	1819	73977
24	1895	73920
25	1959	73411
26	2043	73640
27	2107	73170
28	2192	73422
29	2257	73007
30	2342	73229
31	2407	72825
32	2507	73477
33	2576	73211
34	2653	73168
35	2718	72804
36	2796	72784
37	2861	72434
38	2943	72528
39	3008	72195
40	3090	72288
41	3154	71948
42	3238	72069
43	3302	71761
44	3387	71882
45	3453	71630
46	3543	71849
47	3614	71679
48	3689	71613
49	3754	71326
50	3832	71310
51	3896	71029
52	3979	71102
53	4044	70852
54	4138	71104
55	4201	70823
56	4288	70954
57	4362	70858
58	4447	70931
59	4517	70769
60	4604	70882
61	4676	70743
62	4752	70682
63	4820	70495
64	4910	70630
65	4972	70370
66	5056	70408
67	5138	70433
68	5224	70493
69	5293	70333
70	5376	70346
71	5441	70131
72	5530	70235
73	5600	70079
74	5686	70136
75	5751	69928
76	5832	69914
77	5894	69677
78	5970	69608
79	6034	69394
80	6116	69396
81	6180	69192
82	6264	69213
83	6331	69044
84	6418	69088
85	6491	68991
86	6575	69004
87	6639	68812
88	6717	68762
89	6782	68575
90	6900	68933
91	6963	68723
92	7081	69061
93	7146	68876
94	7235	68931
95	7321	68939
96	7384	68748
97	7470	68756
98	7540	68630
99	7663	68971
100	7728	68791
101	7857	69173
102	7920	68976
103	8050	69357
104	8113	69160
105	8193	69107
106	8258	68922
107	8339	68875
108	8402	68685
109	8494	68731
110	8567	68618
111	8636	68476
112	8714	68402
113	8778	68223
114	8933	68745
115	8996	68562
116	9075	68493
117	9139	68311
118	9223	68288
119	9287	68108
120	9356	67972
121	9442	67957
122	9509	67804
123	9602	67840
124	9671	67702
125	9751	67640
126	9812	67450
127	9888	67366
128	9953	67203
129	10035	67162
130	10098	66988
131	10161	66822
132	10252	66834
133	10316	66674
134	10401	66645
135	10465	66485
136	10549	66454
137	10630	66401
138	10742	66541
139	10805	66378
140	10917	66510
141	10982	66358
142	11044	66189
143	11127	66147
144	11189	65978
145	11279	65975
146	11352	65874
147	11452	65929
148	11520	65795
149	11625	65879
150	11690	65732
151	11764	65636
152	11826	65470
153	11901	65378
154	11965	65230
155	12051	65204
156	12114	65049
157	12199	65010
158	12271	64907
159	12356	64872
160	12451	64888
161	12576	65055
162	12650	64960
163	12725	64866
164	12800	64780
165	12865	64635
166	13004	64866
167	13065	64705
168	13178	64800
169	13242	64652
170	13311	64532
171	13396	64490
172	13462	64354
173	13547	64313
174	13617	64197
175	13714	64209
176	13780	64074
177	13903	64208
178	13966	64060
179	14042	63971
180	14106	63829
181	14207	63857
182	14284	63772
183	14384	63791
184	14447	63648
185	14539	63631
186	14608	63511
187	14699	63488
188	14766	63363
189	14841	63271
190	14903	63127
191	14981	63047
192	15046	62915
193	15126	62845
194	15191	62712
195	15276	62663
196	15341	62533
197	15427	62491
198	15491	62356
199	15579	62317
200	15651	62218
201	15735	62163
202	15802	62044
203	15880	61963
204	15942	61826
205	16020	61748
206	16115	61738
207	16198	61677
208	16262	61547
209	16346	61495
210	16410	61365
211	16524	61421
212	16589	61295
213	16678	61256
214	16750	61157
215	16827	61077
216	16889	60942
217	16965	60858
218	17029	60729
219	17110	60665
220	17179	60556
221	17314	60680
222	17378	60552
223	17473	60534
224	17536	60404
225	17628	60374
226	17696	60261
227	17811	60308
228	17877	60190
229	17954	60107
230	18020	59988
231	18093	59896
232	18158	59773
233	18240	59708
234	18303	59582
235	18386	59522
236	18452	59404
237	18577	59479
238	18645	59367
239	18736	59332
240	18802	59216
241	18904	59212
242	19003	59199
243	19078	59112
244	19145	58998
245	19226	58930
246	19293	58816
247	19378	58760
248	19441	58637
249	19576	58728
250	19640	58607
251	19728	58559
252	19797	58453
253	19873	58369
254	19937	58249
255	20013	58163
256	20076	58043
257	20155	57967
258	20221	57852
259	20305	57792
260	20370	57678
261	20454	57614
262	20517	57496
263	20604	57443
264	20673	57338
265	20755	57273
266	20824	57170
267	20938	57189
268	21002	57072
